ItemLabels,,,,,,,,,,,,,,,,,,,,,,Year on Year % Sept 2017-Sept 2018,Month on Month %,Highest,Lowest
ItemLabels,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,,,Price and State,Price and State
Agric eggs medium size,512.99,520.16,507.69,518.66,522.71,514.66,498.5,485.19,487.51,472.85,463.11,494.43,437.13,519.07,527.32,552.09,548.66,539.75,471.75,474.13,472.73,-3,-0.3,Rivers (582.38),Osun (414.38)
Agric eggs(medium size price of one),47.42,42.9,43.93,46.22,45.73,45.28,44.32,42.92,45.72,42.06,40.82,41.32,38.85,41.27,41.21,42.25,41.77,41.38,41.22,41.79,41.17,-9.9,-1.5,Ebonyi (48.92),Kaduna (36)
"Beans brown,sold loose",353.6,337.11,353.28,357.19,365.86,374.26,382.35,370.25,404.84,382.58,369.78,361.97,385.53,387.48,395.34,395.19,407.73,418.78,411.02,410.16,416.07,2.8,1.4,Ebonyi (595.55),Bauchi (294)
Beans:white black eye. sold loose,305.53,309.85,318.45,324.04,332.28,339.64,343.96,335.71,358.13,342.05,337.09,314.93,344.52,348.55,357.04,355.32,367.23,369.43,361.33,361.68,362.71,1.3,0.3,Ebonyi (500.82),Katsina (233.12)
Beef Bone in,1001.24,995.65,1010.29,1035.45,1123.65,1129.02,1128.94,1151.38,1078.49,1081.3,1065.59,1067.73,1045.55,1017.28,1024.64,980.26,1011.11,1034.57,1028.12,1061.78,1027.66,-4.7,-3.2,Nassarawa (1250),Osun (680.83)
"Beef,boneless",1249.48,1270.67,1281.71,1323.1,1378.91,1393.42,1376.91,1276.85,1324.93,1312.73,1286.86,1236.44,1298.7,1274.71,1262.51,1257.73,1275.77,1271.54,1262.73,1281.02,1281.64,-3.3,0,Bayelsa (1482.28),Oyo (900.17)
Bread sliced 500g,302.87,299.75,297.51,296.63,307.7,320.58,314.47,304.2,310.62,305.88,298.96,290.05,313.43,314.17,305.88,306.54,305.98,308,305.25,307.97,303.84,-2.2,-1.3,Bayelsa (408.33),Katsina (222.31)
Bread unsliced 500g,270.25,264.86,262.33,277.69,282.26,286.78,285.55,258.7,286.33,280.34,274.32,268.23,282.12,284.36,278.61,278.61,278.11,275.6,272.71,278.27,278.57,-2.7,0.1,Bayelsa (422.73),Katsina (214.38)
Broken Rice (Ofada),377.41,392.04,421.54,425.53,460.1,472.29,473.4,415.34,431.59,416.18,417.24,319.86,413.19,405.69,399.47,400.94,405.03,404.43,403.56,397.29,384.49,-10.9,-3.2,Oyo (750),Kebbi (241.81)
Chicken Feet,765.28,785.42,907.51,768.11,819.59,832.79,832.66,834.74,817.19,800.1,790.91,1155.99,850,778.64,772.99,758.88,782.55,784.78,930.5,803.03,808.05,-1.1,0.6,Ondo (1230),Taraba (350.42)
Chicken Wings,919.09,963.46,980.88,886.58,925.55,952.18,958.05,946.93,979.32,960.71,953.6,950.56,950.77,954.99,935.83,921.49,925.54,960.56,963.05,992.48,1012.5,3.4,2,Ekiti (1360),Bauchi (552.94)
Evaporated tinned milk carnation 170g,136.29,140.53,143.56,151.47,157.95,162.8,162.72,158.85,174.36,170.6,169.44,159.72,172.24,166.55,158.51,160.22,165.26,166.23,165.74,162.99,166.28,-4.6,2,Ekiti (260),Rivers (140)
"Evaporated tinned milk(peak), 170g",157.75,166.14,177.05,197.15,198.42,194.67,195.94,190.53,206,198.67,196.02,191.44,196.71,191.14,187.61,188.14,192.93,189.93,187.84,184.25,189.29,-8.1,2.7,Kogi (208.24),Jigawa (162)
Frozen chicken,1419.75,1428.95,1555.51,1606.63,1605.97,1645.29,1623.84,1529.25,1570.26,1580.13,1571.48,1708.64,1547.5,1548.87,1544.95,1537.85,1536.52,1537.25,1541.37,1533.22,1534.18,-2.3,0.1,Yobe (2352.22),Jigawa (1125)
"Gari white,sold loose",219.56,260.94,273.67,288.45,292.97,315.61,317.1,310.15,301.99,268.1,251.91,199.68,229.26,210.21,209.12,208.21,216.01,216.72,200.67,198.82,195.86,-35.1,-1.5,Kano (330.06),Cross River (107.03)
